"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2022","AQS","490352005","1","0.4","ppm","5","Copper View","19","79.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/02/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/03/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/04/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/05/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/06/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/07/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/08/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/09/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/10/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/11/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/12/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/13/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/14/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/15/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/16/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/17/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/18/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/19/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/20/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/21/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/22/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/23/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/24/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/25/2022","AQS","490352005","1","0.4","ppm","5","Copper View","20","83.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/26/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/27/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/28/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/29/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/30/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"01/31/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/01/2022","AQS","490352005","1","0.5","ppm","6","Copper View","20","83.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/02/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/03/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/04/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/05/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/06/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/07/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/08/2022","AQS","490352005","1","0.9","ppm","10","Copper View","20","83.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/09/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/10/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/11/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/12/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/13/2022","AQS","490352005","1","0.9","ppm","10","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/14/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/15/2022","AQS","490352005","1","0.3","ppm","3","Copper View","20","83.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/16/2022","AQS","490352005","1","0.3","ppm","3","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/17/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/18/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/19/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/20/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/21/2022","AQS","490352005","1","0.3","ppm","3","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/22/2022","AQS","490352005","1","0.4","ppm","5","Copper View","20","83.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/23/2022","AQS","490352005","1","0.3","ppm","3","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/24/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/25/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/26/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/27/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"02/28/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/01/2022","AQS","490352005","1","0.8","ppm","9","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/02/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/03/2022","AQS","490352005","1","0.7","ppm","8","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/04/2022","AQS","490352005","1","0.3","ppm","3","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/05/2022","AQS","490352005","1","0.3","ppm","3","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/06/2022","AQS","490352005","1","0.3","ppm","3","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/07/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/08/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/09/2022","AQS","490352005","1","0.3","ppm","3","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/10/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/11/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/12/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/13/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/14/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/15/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/16/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/17/2022","AQS","490352005","1","0.5","ppm","6","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/18/2022","AQS","490352005","1","0.6","ppm","7","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"03/19/2022","AQS","490352005","1","0.4","ppm","5","Copper View","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
